START_DATE,END_DATE,CATEGORY,START,PURPOSE,MILES,STOP,Cluster
2016-01-01 21:11:00,01-01-2016 21:17,Business,Fort Pierce,Meal-Entertain,-0.2695581573247336,Fort Pierce,4
2016-01-02 01:25:00,01-02-2016 01:37,Business,Fort Pierce,Unknown,-0.2738522283183241,Fort Pierce,4
2016-01-02 20:25:00,01-02-2016 20:38,Business,Fort Pierce,Errand-Supplies,-0.28244037030550534,Fort Pierce,4
2016-01-05 17:31:00,01-05-2016 17:45,Business,Fort Pierce,Meeting,-0.2867344412990959,Fort Pierce,4
2016-01-06 14:42:00,01-06-2016 15:49,Business,Fort Pierce,Customer Visit,2.246767444919351,West Palm Beach,3
2016-01-06 17:15:00,01-06-2016 17:19,Business,West Palm Beach,Meal-Entertain,-0.30391072527345825,West Palm Beach,4
2016-01-06 17:30:00,01-06-2016 17:35,Business,West Palm Beach,Meeting,-0.18367673745292182,Palm Beach,4
2016-01-07 13:27:00,01-07-2016 13:33,Business,Cary,Meeting,-0.4542032100491288,Cary,4
2016-01-10 08:05:00,01-10-2016 08:25,Business,Cary,Meeting,-0.13214788552983472,Morrisville,4
2016-01-10 12:17:00,01-10-2016 12:44,Business,Jamaica,Customer Visit,0.21996593594459343,New York,2
2016-01-10 15:08:00,01-10-2016 15:51,Business,New York,Meeting,-0.02479611069007003,Queens,2
2016-01-10 18:18:00,01-10-2016 18:53,Business,Elmhurst,Meeting,-0.16650045347855946,New York,4
2016-01-10 19:12:00,01-10-2016 19:32,Business,Midtown,Meeting,-0.22232337639523708,East Harlem,4
2016-01-11 08:55:00,01-11-2016 09:21,Business,East Harlem,Temporary Site,-0.2137352344080559,NoMad,4
2016-01-11 11:56:00,01-11-2016 12:03,Business,Flatiron District,Errand-Supplies,-0.4198506421004041,Midtown,4
2016-01-11 13:32:00,01-11-2016 13:46,Business,Midtown,Meal-Entertain,-0.41555657110681354,Midtown East,4
2016-01-11 14:30:00,01-11-2016 14:43,Business,Midtown East,Meal-Entertain,-0.4069684291196323,Midtown,4
2016-01-12 12:33:00,01-12-2016 12:49,Business,Midtown,Meal-Entertain,-0.4069684291196323,Hudson Square,4
2016-01-12 12:53:00,01-12-2016 13:09,Business,Hudson Square,Meal-Entertain,-0.31679293825423,Lower Manhattan,4
2016-01-12 14:42:00,01-12-2016 14:56,Business,Lower Manhattan,Errand-Supplies,-0.4112625001132229,Hudson Square,4
2016-01-12 15:13:00,01-12-2016 15:28,Business,Hudson Square,Customer Visit,-0.3854980741516794,Hell's Kitchen,4
2016-01-12 15:42:00,01-12-2016 15:54,Business,Hell's Kitchen,Errand-Supplies,-0.40267435812604174,Midtown,4
2016-01-12 16:02:00,01-12-2016 17:00,Business,New York,Meeting,0.1598489420343252,Queens County,2
2016-01-13 13:54:00,1-13-2016 14:07,Business,Downtown,Meeting,-0.00761982671570774,Gulfton,2
2016-01-13 15:00:00,1-13-2016 15:28,Business,Gulfton,Meeting,0.018144599245835846,Downtown,2
2016-01-14 16:29:00,1-14-2016 17:05,Business,Houston,Customer Visit,0.4518457695984851,Houston,2
2016-01-14 21:39:00,1-14-2016 21:45,Business,Eagan Park,Errand-Supplies,-0.3210870092478206,Jamestown Court,4
2016-01-15 00:41:00,1-15-2016 1:01,Business,Morrisville,Errand-Supplies,-0.14503009851060653,Cary,4
2016-01-15 11:43:00,1-15-2016 12:03,Business,Cary,Meal-Entertain,-0.041972394664432394,Durham,2
2016-01-15 13:26:00,1-15-2016 13:44,Business,Durham,Meal-Entertain,-0.041972394664432394,Cary,2
2016-01-18 14:55:00,1-18-2016 15:06,Business,Cary,Meal-Entertain,-0.28244037030550534,Cary,4
2016-01-18 16:13:00,1-18-2016 16:24,Business,Farmington Woods,Meal-Entertain,-0.2867344412990959,Whitebridge,4
2016-01-19 09:09:00,1-19-2016 9:23,Business,Whitebridge,Unknown,-0.1793826664593312,Lake Wellingborough,4
2016-01-19 10:55:00,1-19-2016 11:09,Business,Lake Wellingborough,Temporary Site,-0.16220638248496888,Whitebridge,4
2016-01-20 10:36:00,1-20-2016 11:11,Business,Cary,Meeting,0.245730361906137,Raleigh,2
2016-01-20 11:48:00,1-20-2016 12:19,Business,Fayetteville Street,Meeting,0.1598489420343252,Umstead,2
2016-01-20 13:25:00,1-20-2016 14:19,Business,Raleigh,Customer Visit,1.2376607614255628,Cary,0
2016-01-21 14:25:00,1-21-2016 14:29,Business,Cary,Errand-Supplies,-0.4198506421004041,Cary,4
2016-01-21 14:43:00,1-21-2016 14:51,Business,Cary,Meal-Entertain,-0.3854980741516794,Cary,4
2016-01-21 16:01:00,1-21-2016 16:06,Business,Cary,Meal-Entertain,-0.4456150680619476,Cary,4
2016-01-26 10:41:00,1-26-2016 10:50,Business,Whitebridge,Meal-Entertain,-0.40267435812604174,Hazelwood,4
2016-01-26 12:33:00,1-26-2016 12:41,Business,Hazelwood,Errand-Supplies,-0.38979214514527005,Whitebridge,4
2016-01-26 16:24:00,1-26-2016 16:32,Business,Whitebridge,Errand-Supplies,-0.4069684291196323,Westpark Place,4
2016-01-26 17:17:00,1-26-2016 17:22,Business,Cary,Errand-Supplies,-0.4284387840875853,Cary,4
2016-01-26 17:27:00,1-26-2016 17:29,Business,Cary,Errand-Supplies,-0.4670854230299006,Cary,4
2016-01-27 09:24:00,1-27-2016 9:31,Business,Cary,Meeting,-0.4112625001132229,Cary,4
2016-01-27 10:19:00,1-27-2016 10:48,Business,Cary,Customer Visit,0.3144354978035863,Raleigh,2
2016-01-27 12:34:00,1-27-2016 12:44,Business,Fairmont,Customer Visit,-0.34255736421577354,Meredith Townes,4
2016-01-27 14:05:00,1-27-2016 14:13,Business,Raleigh,Customer Visit,-0.3726158611709076,Raleigh,4
2016-01-27 14:46:00,1-27-2016 15:08,Business,Raleigh,Customer Visit,0.06537938017533229,Cary,2
2016-01-28 12:28:00,1-28-2016 13:00,Business,Cary,Temporary Site,0.3273177107843581,Raleigh,2
2016-01-28 15:11:00,1-28-2016 15:31,Business,Meredith Townes,Meeting,0.14267265805996282,Leesville Hollow,2
2016-01-28 16:21:00,1-28-2016 16:51,Business,Raleigh,Meeting,0.1856133679958687,Cary,2
2016-01-29 09:31:00,1-29-2016 9:45,Business,Cary,Customer Visit,-0.2910285122926865,Cary,4
2016-01-29 10:56:00,1-29-2016 11:07,Business,Cary,Meeting,-0.26526408633114296,Cary,4
2016-01-29 11:43:00,1-29-2016 12:03,Business,Cary,Meeting,-0.041972394664432394,Durham,2
2016-01-29 13:24:00,1-29-2016 13:47,Business,Durham,Meeting,-0.05485460764520419,Cary,2
2016-01-29 18:31:00,1-29-2016 18:52,Business,Cary,Errand-Supplies,-0.23949966036959944,Apex,4
2016-01-29 21:21:00,1-29-2016 21:40,Business,Apex,Meal-Entertain,-0.2523818733503712,Cary,4
2016-01-30 16:21:00,1-30-2016 16:33,Business,Cary,Errand-Supplies,-0.24379373136319002,Apex,4
2016-01-30 18:09:00,1-30-2016 18:24,Business,Apex,Customer Visit,-0.24379373136319002,Cary,4
2016-02-01 10:35:00,02-01-2016 11:15,Business,Cary,Customer Visit,0.3444939947587204,Chapel Hill,2
2016-02-01 12:10:00,02-01-2016 12:43,Business,Chapel Hill,Customer Visit,0.5119627635087535,Cary,2
2016-02-01 12:56:00,02-01-2016 13:07,Business,Northwoods,Meal-Entertain,-0.3210870092478206,Whitebridge,4
2016-02-02 13:04:00,02-02-2016 13:23,Business,Whitebridge,Meeting,-0.13214788552983472,Williamsburg Manor,4
2016-02-02 13:51:00,02-02-2016 14:06,Business,Cary,Errand-Supplies,-0.23091151838241827,Cary,4
2016-02-02 14:38:00,02-02-2016 14:42,Business,Cary,Errand-Supplies,-0.4198506421004041,Cary,4
2016-02-04 08:40:00,02-04-2016 09:01,Business,Cary,Errand-Supplies,-0.26526408633114296,Morrisville,4
2016-02-04 09:37:00,02-04-2016 10:09,Business,Morrisville,Meal-Entertain,-0.07203089161956655,Cary,2
2016-02-04 10:26:00,02-04-2016 10:32,Business,Cary,Meal-Entertain,-0.4198506421004041,Cary,4
2016-02-04 15:59:00,02-04-2016 16:03,Business,Cary,Meal-Entertain,-0.4413209970683571,Cary,4
2016-02-04 16:35:00,02-04-2016 16:39,Business,Cary,Meal-Entertain,-0.4198506421004041,Cary,4
2016-02-04 18:04:00,02-04-2016 18:31,Business,Whitebridge,Meeting,-0.10208938857470064,Macgregor Downs,2
2016-02-04 20:36:00,02-04-2016 20:55,Business,Cary,Meeting,-0.15791231149137827,Cary,4
2016-02-05 11:47:00,02-05-2016 12:07,Business,Cary,Meeting,-0.041972394664432394,Durham,2
2016-02-05 13:22:00,02-05-2016 13:41,Business,Durham,Meeting,-0.041972394664432394,Cary,2
2016-02-06 16:20:00,02-06-2016 16:53,Business,Cary,Between Offices,0.0009683152714734804,Raleigh,2
2016-02-06 18:57:00,02-06-2016 19:21,Business,Raleigh,Errand-Supplies,-0.10208938857470064,Cary,2
2016-02-06 19:28:00,02-06-2016 19:37,Business,Edgehill Farms,Meal-Entertain,-0.35114550620295465,Whitebridge,4
2016-02-07 16:49:00,02-07-2016 17:01,Business,Cary,Errand-Supplies,-0.24808780235678063,Apex,4
2016-02-07 18:03:00,02-07-2016 18:17,Business,Apex,Customer Visit,-0.24379373136319002,Cary,4
2016-02-07 18:39:00,02-07-2016 18:53,Business,Cary,Temporary Site,-0.2266174473888277,Morrisville,4
2016-02-07 20:22:00,02-07-2016 20:40,Business,Morrisville,Meeting,-0.2266174473888277,Cary,4
2016-02-08 12:57:00,02-08-2016 13:08,Business,Whitebridge,Meal-Entertain,-0.30391072527345825,Edgehill Farms,4
2016-02-08 14:00:00,02-08-2016 14:10,Business,Edgehill Farms,Meal-Entertain,-0.3726158611709076,Whitebridge,4
2016-02-09 10:54:00,02-09-2016 11:07,Personal,Whitebridge,Unknown,-0.2609700153375524,Northwoods,4
2016-02-09 11:43:00,02-09-2016 11:50,Personal,Northwoods,Unknown,-0.35973364819013587,Tanglewood,4
2016-02-09 13:36:00,02-09-2016 13:52,Personal,Tanglewood,Unknown,-0.2695581573247336,Preston,4
2016-02-09 13:58:00,02-09-2016 14:02,Personal,Preston,Unknown,-0.4241447130939947,Whitebridge,4
2016-02-09 18:55:00,02-09-2016 19:11,Business,Cary,Unknown,-0.2266174473888277,Morrisville,4
2016-02-09 20:24:00,02-09-2016 20:40,Business,Morrisville,Meal-Entertain,-0.2266174473888277,Cary,4
2016-02-11 16:28:00,02-11-2016 17:10,Business,Cary,Meal-Entertain,0.25431850389331817,Raleigh,2
2016-02-11 17:49:00,02-11-2016 18:10,Business,Eastgate,Meal-Entertain,-0.24379373136319002,Walnut Terrace,4
2016-02-11 18:24:00,02-11-2016 18:46,Business,Raleigh,Temporary Site,0.09114380613687581,Morrisville,2
2016-02-11 20:36:00,02-11-2016 20:51,Business,Morrisville,Temporary Site,-0.2266174473888277,Cary,4
2016-02-12 08:21:00,02-12-2016 08:42,Business,Cary,Temporary Site,-0.12355974354265357,Durham,4
2016-02-12 10:45:00,02-12-2016 10:52,Business,Durham,Temporary Site,-0.37690993216449825,Morrisville,4
2016-02-12 11:14:00,02-12-2016 11:35,Business,Morrisville,Customer Visit,0.24143629091254637,Raleigh,2
2016-02-12 13:02:00,02-12-2016 13:36,Business,Raleigh,Meeting,0.28437700084845224,Cary,2
2016-02-12 14:49:00,02-12-2016 15:06,Business,Cary,Meeting,-0.12785381453624414,Morrisville,4
2016-02-12 15:33:00,02-12-2016 16:06,Business,Morrisville,Customer Visit,0.005262386265064052,Cary,2
2016-02-13 14:21:00,2-13-2016 14:41,Business,Cary,Meeting,-0.1063834595682912,Morrisville,2
2016-02-13 23:45:00,2-14-2016 0:01,Personal,East Elmhurst,Unknown,-0.3726158611709076,Jackson Heights,4
2016-02-14 00:50:00,2-14-2016 1:00,Personal,Jackson Heights,Unknown,-0.4112625001132229,East Elmhurst,4
2016-02-14 14:07:00,2-14-2016 14:40,Business,East Elmhurst,Meeting,-0.14073602751701594,New York,4
2016-02-14 14:46:00,2-14-2016 15:03,Business,Midtown,Meeting,-0.40267435812604174,Midtown West,4
2016-02-14 16:35:00,2-14-2016 17:02,Business,New York,Meeting,0.06967345116892287,Long Island City,2
2016-02-14 17:06:00,2-14-2016 17:29,Business,Long Island City,Meeting,0.10832009011123817,Jamaica,2
2016-02-16 03:21:00,2-16-2016 4:13,Business,Katunayaka,Customer Visit,1.3879532462012334,Unknown Location,0
2016-02-16 08:29:00,2-16-2016 9:34,Business,Unknown Location,Unknown,0.11690823209841932,Colombo,2
2016-02-16 10:31:00,2-16-2016 10:41,Business,Colombo,Unknown,-0.37690993216449825,Colombo,4
2016-02-16 11:32:00,2-16-2016 12:02,Business,Colombo,Unknown,-0.2953225832862771,Colombo,4
2016-02-16 12:39:00,2-16-2016 12:42,Business,Colombo,Unknown,-0.41555657110681354,Colombo,4
2016-02-16 13:43:00,2-16-2016 13:55,Business,Colombo,Temporary Site,-0.4112625001132229,Colombo,4
2016-02-16 16:34:00,2-16-2016 17:10,Business,Colombo,Unknown,-0.23091151838241827,Colombo,4
2016-02-16 17:17:00,2-16-2016 17:26,Business,Colombo,Meal-Entertain,-0.4413209970683571,Nugegoda,4
2016-02-16 17:40:00,2-16-2016 17:44,Business,Nugegoda,Errand-Supplies,-0.3339692222285924,Unknown Location,4
2016-02-17 13:18:00,2-17-2016 14:04,Business,Unknown Location,Temporary Site,0.14267265805996282,Colombo,2
2016-02-17 15:17:00,2-17-2016 15:22,Business,Colombo,Meal-Entertain,-0.41555657110681354,Colombo,4
2016-02-17 15:33:00,2-17-2016 16:17,Business,Colombo,Temporary Site,0.43037541463053214,Katunayaka,2
2016-02-17 16:38:00,2-17-2016 16:43,Business,Katunayaka,Errand-Supplies,-0.4670854230299006,Katunayaka,4
2016-02-18 08:19:00,2-18-2016 8:27,Business,Unknown Location,Temporary Site,0.5205509054959345,Unknown Location,2
2016-02-18 14:03:00,2-18-2016 14:45,Business,Unknown Location,Temporary Site,0.05679123818815107,Islamabad,2
2016-02-18 15:16:00,2-18-2016 15:31,Business,Islamabad,Temporary Site,-0.23091151838241827,Unknown Location,4
2016-02-18 18:44:00,2-18-2016 18:58,Business,Unknown Location,Customer Visit,-0.26526408633114296,Islamabad,4
2016-02-18 19:27:00,2-18-2016 20:08,Business,Islamabad,Meeting,-0.05914867863879476,Unknown Location,2
2016-02-19 09:02:00,2-19-2016 9:14,Business,Unknown Location,Meeting,0.29725921382922404,Unknown Location,2
2016-02-19 09:21:00,2-19-2016 9:51,Business,Unknown Location,Meeting,-0.00761982671570774,Unknown Location,2
2016-02-19 10:21:00,2-19-2016 10:48,Business,Unknown Location,Meeting,-0.16220638248496888,Islamabad,4
2016-02-19 11:20:00,2-19-2016 11:26,Personal,Islamabad,Unknown,-0.4241447130939947,Islamabad,4
2016-02-19 11:45:00,2-19-2016 11:50,Personal,Islamabad,Unknown,-0.4456150680619476,Islamabad,4
2016-02-19 12:09:00,2-19-2016 12:27,Business,Islamabad,Temporary Site,-0.17508859546574063,Unknown Location,4
2016-02-19 16:26:00,2-19-2016 16:45,Business,Unknown Location,Unknown,-0.33826329322218296,Islamabad,4
2016-02-19 17:09:00,2-19-2016 17:20,Business,Islamabad,Unknown,-0.30820479626704883,Islamabad,4
2016-02-19 20:08:00,2-19-2016 20:30,Personal,Islamabad,Unknown,0.09543787713046638,Unknown Location,2
2016-02-19 20:34:00,2-19-2016 20:51,Personal,Unknown Location,Unknown,-0.38120400315808883,Unknown Location,4
2016-02-20 07:59:00,2-20-2016 8:32,Personal,Unknown Location,Unknown,0.1297904450791911,Islamabad,2
2016-02-20 10:48:00,2-20-2016 10:56,Personal,Islamabad,Unknown,-0.35973364819013587,Islamabad,4
2016-02-20 11:45:00,2-20-2016 11:53,Personal,Islamabad,Unknown,-0.4241447130939947,Islamabad,4
2016-02-20 12:41:00,2-20-2016 13:17,Business,Islamabad,Unknown,0.3015532848228145,R?walpindi,2
2016-02-20 14:50:00,2-20-2016 15:54,Business,R?walpindi,Meeting,0.5033746215215723,R?walpindi,2
2016-02-20 16:59:00,2-20-2016 17:54,Personal,R?walpindi,Unknown,0.21996593594459343,Unknown Location,2
2016-02-20 18:00:00,2-20-2016 18:03,Business,Unknown Location,Errand-Supplies,-0.35114550620295465,Unknown Location,4
2016-02-20 19:28:00,2-20-2016 19:49,Business,Unknown Location,Errand-Supplies,-0.15791231149137827,Unknown Location,4
2016-02-21 09:07:00,2-21-2016 9:46,Business,Unknown Location,Unknown,0.13408451607278168,Islamabad,2
2016-02-21 11:39:00,2-21-2016 11:43,Business,Unknown Location,Errand-Supplies,-0.3854980741516794,Islamabad,4
2016-02-21 11:47:00,2-21-2016 12:01,Business,Islamabad,Errand-Supplies,-0.2910285122926865,Islamabad,4
2016-02-21 12:13:00,2-21-2016 12:35,Business,Islamabad,Meal-Entertain,-0.11067753056188179,Unknown Location,2
2016-02-21 12:51:00,2-21-2016 13:12,Business,Unknown Location,Temporary Site,-0.13214788552983472,Unknown Location,4
2016-02-21 13:33:00,2-21-2016 14:30,Business,Unknown Location,Temporary Site,0.4861983375472098,Unknown Location,2
2016-02-21 14:36:00,2-21-2016 15:03,Business,Unknown Location,Temporary Site,0.06967345116892287,Islamabad,2
2016-02-21 15:14:00,2-21-2016 15:31,Business,Islamabad,Temporary Site,-0.14073602751701594,Noorpur Shahan,4
2016-02-21 15:36:00,2-21-2016 15:41,Business,Noorpur Shahan,Meal-Entertain,-0.3940862161388605,Unknown Location,4
2016-02-21 16:04:00,2-21-2016 16:32,Business,Unknown Location,Unknown,-0.07203089161956655,Unknown Location,2
2016-02-21 23:15:00,2-21-2016 23:52,Business,Unknown Location,Meeting,0.370258420720264,R?walpindi,2
2016-02-22 21:54:00,2-22-2016 22:09,Business,Morrisville,Customer Visit,-0.14073602751701594,Cary,4
2016-02-24 14:30:00,2-24-2016 14:35,Business,Whitebridge,Unknown,-0.4241447130939947,Preston,4
2016-02-24 15:19:00,2-24-2016 15:25,Business,Preston,Errand-Supplies,-0.41555657110681354,Whitebridge,4
2016-02-25 16:27:00,2-25-2016 16:35,Business,Whitebridge,Errand-Supplies,-0.35543957719654534,Heritage Pines,4
2016-02-25 16:47:00,2-25-2016 17:02,Business,Heritage Pines,Errand-Supplies,-0.35114550620295465,Whitebridge,4
2016-02-25 17:16:00,2-25-2016 17:36,Business,Whitebridge,Meal-Entertain,-0.23091151838241827,Tanglewood,4
2016-02-25 18:22:00,2-25-2016 18:39,Business,Tanglewood,Meal-Entertain,-0.23949966036959944,Whitebridge,4
2016-02-26 09:06:00,2-26-2016 9:29,Business,Whitebridge,Unknown,-0.2180293054016465,Westpark Place,4
2016-02-26 11:05:00,2-26-2016 11:11,Personal,Westpark Place,Unknown,-0.41555657110681354,Whitebridge,4
2016-02-26 11:35:00,2-26-2016 11:59,Business,Cary,Meeting,-0.03338425267725125,Durham,2
2016-02-26 13:01:00,2-26-2016 13:24,Business,Durham,Meeting,-0.06344274963238533,Cary,2
2016-02-26 14:38:00,2-26-2016 14:46,Personal,Whitebridge,Unknown,-0.4069684291196323,Westpark Place,4
2016-02-26 15:00:00,2-26-2016 15:18,Personal,Westpark Place,Unknown,-0.30820479626704883,Hazelwood,4
2016-02-26 17:01:00,2-26-2016 17:12,Personal,Hazelwood,Unknown,-0.40267435812604174,Whitebridge,4
2016-02-28 05:22:00,2-28-2016 5:38,Business,Whitebridge,Meeting,-0.15791231149137827,Waverly Place,4
2016-02-28 09:26:00,2-28-2016 9:42,Business,Waverly Place,Meeting,-0.19655895043369356,Whitebridge,4
2016-02-29 11:07:00,2-29-2016 11:14,Personal,Whitebridge,Unknown,-0.3983802871324512,Westpark Place,4
2016-02-29 11:30:00,2-29-2016 11:40,Business,Cary,Meeting,-0.3253810802414112,Apex,4
2016-02-29 12:36:00,2-29-2016 12:48,Business,Apex,Meeting,-0.24808780235678063,Cary,4
2016-02-29 14:55:00,2-29-2016 15:03,Business,Whitebridge,Unknown,-0.37690993216449825,Hazelwood,4
2016-02-29 16:40:00,2-29-2016 17:00,Business,Hazelwood,Customer Visit,-0.20514709242087475,Whitebridge,4
2016-03-01 18:47:00,03-01-2016 19:10,Business,Whitebridge,Meal-Entertain,-0.14503009851060653,Wayne Ridge,4
2016-03-01 21:27:00,03-01-2016 21:45,Business,Wayne Ridge,Meeting,-0.14503009851060653,Whitebridge,4
2016-03-03 09:45:00,03-03-2016 09:52,Personal,Whitebridge,Unknown,-0.3940862161388605,Westpark Place,4
2016-03-03 11:04:00,03-03-2016 11:10,Business,Westpark Place,Errand-Supplies,-0.38979214514527005,Whitebridge,4
2016-03-03 14:44:00,03-03-2016 14:58,Business,Whitebridge,Meal-Entertain,-0.26526408633114296,Northwoods,4
2016-03-03 15:27:00,03-03-2016 15:48,Business,Cary,Customer Visit,-0.16220638248496888,Raleigh,4
2016-03-03 16:02:00,03-03-2016 16:42,Business,Raleigh,Meeting,0.25431850389331817,Cary,2
2016-03-04 07:47:00,03-04-2016 08:06,Business,Cary,Meeting,-0.06344274963238533,Durham,2
2016-03-04 09:46:00,03-04-2016 10:03,Business,Durham,Customer Visit,-0.06344274963238533,Cary,2
2016-03-04 11:46:00,03-04-2016 12:06,Business,Cary,Meeting,-0.041972394664432394,Durham,2
2016-03-04 13:03:00,03-04-2016 13:25,Business,Durham,Meeting,-0.020502039696479457,Cary,2
2016-03-04 13:40:00,03-04-2016 14:09,Business,Cary,Customer Visit,0.1856133679958687,Raleigh,2
